leftXQBH,worker
598,114.199525964
599,45.2488687783
600,469.726352079
601,116.354234001
602,157.293686705
604,439.56043956
605,193.923723335
606,452.488687783
607,202.542555484
610,53.8677009265
611,129.282482224
614,486.964016376
615,493.428140487
616,379.228614523
618,129.282482224
619,118.508942038
620,127.127774187
621,723.981900452
622,28.0112044818
623,56.0224089636
624,527.90346908
625,21.5470803706
626,193.923723335
627,157.293686705
628,129.282482224
629,224.089635854
630,471.881060116
631,101.271277742
632,573.152337858
633,73.2600732601
634,103.425985779
635,8.61883214824
636,249.946132299
637,38.7847446671
638,6.46412411118
640,338.289161819
641,142.210730446
642,34.475328593
643,458.952811894
644,312.432665374
645,94.8071536307
646,370.609782374
648,446.024563672
649,146.52014652
650,43.0941607412
651,280.112044818
652,366.3003663
654,282.266752855
655,465.416936005
656,611.937082525
657,288.730876966
658,329.67032967
659,456.798103857
660,333.979745744
661,415.858651153
662,56.0224089636
663,230.553759966
664,187.459599224
665,90.4977375566
666,1131.22171946
667,984.701572937
668,614.091790562
669,275.802628744
670,62.4865330748
671,318.896789485
672,504.201680672
673,211.161387632
674,49.5582848524
675,202.542555484
676,364.145658263
677,228.399051928
678,4.30941607412
679,316.742081448
680,329.67032967
681,659.340659341
682,211.161387632
683,144.365438483
684,381.38332256
685,131.437190261
686,88.3430295195
687,183.15018315
688,10.7735401853
689,280.112044818
690,379.228614523
691,150.829562594
692,601.16354234
693,10.7735401853
694,10.7735401853
695,560.224089636
696,480.499892265
698,262.874380521
699,415.858651153
701,286.576168929
702,510.665804783
703,122.818358112
704,19.3923723335
705,413.703943116
706,21.5470803706
707,366.3003663
708,295.195001077
709,161.60310278
710,299.504417151
711,81.8789054083
712,25.8564964447
713,344.75328593
714,439.56043956
715,282.266752855
716,234.86317604
717,62.4865330748
718,870.502046973
719,34.475328593
720,258.564964447
721,353.372118078
722,325.360913596
723,745.528980823
724,88.3430295195
726,99.1165697048
727,62.4865330748
728,316.742081448
729,133.591898298
730,172.376642965
731,172.376642965
732,1083.81814264
733,624.865330748
734,185.304891187
736,525.748761043
737,670.114199526
738,92.6524455936
739,510.665804783
740,458.952811894
741,508.511096746
742,228.399051928
743,34.475328593
744,353.372118078
745,1198.01766861
746,693.815987934
747,101.271277742
748,325.360913596
749,187.459599224
750,407.239819005
751,269.338504633
752,667.959491489
753,191.769015298
754,273.647920707
755,30.1659125189
756,217.625511743
757,745.528980823
758,894.20383538
759,672.268907563
761,420.168067227
762,476.19047619
763,260.719672484
764,331.825037707
765,127.127774187
766,234.86317604
768,491.27343245
771,165.912518854
772,60.3318250377
774,187.459599224
775,361.990950226
776,560.224089636
777,25.8564964447
779,687.351863822
780,913.596207714
781,842.490842491
782,405.085110967
783,49.5582848524
784,135.746606335
786,471.881060116
787,430.941607412
788,971.773324715
789,624.865330748
790,502.046972635
791,465.416936005
792,1131.22171946
793,2184.87394958
794,170.221934928
795,213.316095669
796,286.576168929
798,1088.12755872
800,157.293686705
801,461.107519931
802,53.8677009265
803,247.791424262
806,109.89010989
807,232.708468003
808,12.9282482224
809,219.78021978
811,6.46412411118
812,77.5694893342
813,66.7959491489
815,163.757810817
817,174.531351002
818,28.0112044818
819,112.044817927
820,568.842921784
821,38.7847446671
822,211.161387632
823,232.708468003
824,148.674854557
825,25.8564964447
827,10.7735401853
828,280.112044818
829,211.161387632
830,36.63003663
831,267.183796596
833,127.127774187
834,60.3318250377
836,105.580693816
837,58.1771170006
838,12.9282482224
839,40.9394527042
840,103.425985779
841,17.2376642965
842,374.919198449
843,58.1771170006
844,84.0336134454
846,284.421460892
847,36.63003663
848,196.078431373
849,297.349709114
850,165.912518854
852,161.60310278
853,150.829562594
854,200.387847447
855,131.437190261
856,357.681534152
857,36.63003663
858,36.63003663
860,73.2600732601
861,644.257703081
862,163.757810817
863,38.7847446671
864,96.9618616677
865,45.2488687783
867,99.1165697048
868,53.8677009265
869,56.0224089636
870,75.4147812971
871,4.30941607412
872,189.614307261
874,226.244343891
875,209.006679595
876,142.210730446
879,293.04029304
880,96.9618616677
881,4.30941607412
882,224.089635854
883,148.674854557
884,51.7129928895
885,392.156862745
886,353.372118078
888,68.950657186
889,146.52014652
890,66.7959491489
891,124.97306615
892,260.719672484
893,10.7735401853
894,183.15018315
895,211.161387632
896,359.836242189
897,172.376642965
898,325.360913596
899,193.923723335
900,267.183796596
901,676.578323637
902,12.9282482224
903,189.614307261
904,655.031243267
905,204.697263521
906,133.591898298
907,198.23313941
908,232.708468003
909,254.255548373
910,265.029088559
911,131.437190261
912,64.6412411118
913,135.746606335
914,96.9618616677
916,474.035768153
917,224.089635854
918,137.901314372
919,379.228614523
920,221.934927817
921,157.293686705
922,19.3923723335
923,159.448394743
924,10.7735401853
925,32.3206205559
926,219.78021978
927,99.1165697048
928,1467.35617324
929,1029.95044172
930,120.663650075
931,124.97306615
933,256.41025641
934,262.874380521
935,62.4865330748
936,135.746606335
937,86.1883214824
938,64.6412411118
939,502.046972635
940,36.63003663
941,43.0941607412
942,415.858651153
943,239.172592114
945,180.995475113
946,157.293686705
947,101.271277742
948,224.089635854
949,258.564964447
950,71.105365223
951,196.078431373
952,277.957336781
953,28.0112044818
954,260.719672484
955,25.8564964447
956,2184.87394958
957,247.791424262
959,1603.10277957
960,252.100840336
961,163.757810817
962,8.61883214824
963,402.93040293
964,60.3318250377
965,215.470803706
966,659.340659341
968,2184.87394958
971,405.085110967
972,122.818358112
973,226.244343891
974,131.437190261
975,566.688213747
976,254.255548373
977,198.23313941
978,38.7847446671
979,211.161387632
980,357.681534152
981,1113.98405516
982,200.387847447
983,676.578323637
984,265.029088559
986,19.3923723335
987,189.614307261
988,493.428140487
989,415.858651153
990,2.15470803706
991,224.089635854
992,514.975220858
993,90.4977375566
999,193.923723335
1002,411.549235079
1004,228.399051928
1005,92.6524455936
1007,84.0336134454
1009,290.885585003
1011,683.042447748
1014,81.8789054083
1016,239.172592114
1017,90.4977375566
1018,51.7129928895
1019,112.044817927
1021,260.719672484
1022,8.61883214824
1023,327.515621633
1024,523.594053006
1025,237.017884077
1026,818.789054083
1027,495.582848524
1028,305.968541263
1029,333.979745744
1030,64.6412411118
1031,152.984270631
1033,262.874380521
1034,234.86317604
1035,336.134453782
1036,103.425985779
1037,639.948287007
1038,379.228614523
1039,260.719672484
1040,170.221934928
1041,512.820512821
1042,51.7129928895
1043,1081.6634346
1044,573.152337858
1045,325.360913596
1046,792.932557638
1047,441.715147598
1048,943.762120233
1049,75.4147812971
1051,290.885585003
1052,157.293686705
1053,1124.75759535
1054,1872.44128421
1055,751.993104934
1056,536.522301228
1057,189.614307261
1058,1131.22171946
1059,131.437190261
1060,202.542555484
1061,1609.56690368
1063,137.901314372
1064,224.089635854
1065,370.609782374
1066,273.647920707
1067,131.437190261
1068,262.874380521
1069,213.316095669
1070,282.266752855
1071,648.567119155
1072,116.354234001
1074,1363.93018746
1075,894.20383538
1077,333.979745744
1078,383.538030597
1079,342.598577893
1080,297.349709114
1081,435.251023486
1083,693.815987934
1084,1025.64102564
1085,321.051497522
1086,172.376642965
1087,71.105365223
1088,344.75328593
1089,607.627666451
1090,661.495367378
1091,148.674854557
1092,413.703943116
1093,540.831717302
1095,321.051497522
1097,4.30941607412
1098,159.448394743
1099,73.2600732601
1100,202.542555484
1101,258.564964447
1102,678.733031674
1103,344.75328593
1104,1512.60504202
1105,1167.85175609
1107,146.52014652
1108,433.096315449
1109,336.134453782
1110,351.217410041
1111,88.3430295195
1112,1385.47726783
1113,715.363068304
1114,805.860805861
1115,650.721827192
1116,303.813833226
1117,1075.19931049
1118,392.156862745
1119,889.894419306
1120,112.044817927
1121,527.90346908
1122,79.7241973713
1123,402.93040293
1124,982.5468649
1126,142.210730446
1127,142.210730446
1128,204.697263521
1129,202.542555484
1130,469.726352079
1131,152.984270631
1132,743.374272786
1133,19.3923723335
1135,424.477483301
1137,43.0941607412
1138,1004.09394527
1139,588.235294118
1140,827.407886231
1142,170.221934928
1143,228.399051928
1145,140.056022409
1146,366.3003663
1147,497.737556561
1148,71.105365223
1149,398.620986856
1150,32.3206205559
1151,911.441499677
1152,1029.95044172
1153,452.488687783
1154,10.7735401853
1155,1816.41887524
1156,633.484162896
1157,428.786899375
1158,506.356388709
1159,297.349709114
1160,1124.75759535
1161,874.811463047
1162,237.017884077
1163,491.27343245
1164,178.840767076
1165,1139.84055161
1166,86.1883214824
1167,1021.33160957
1168,1506.14091791
1169,484.809308339
1170,325.360913596
1171,146.52014652
1172,6.46412411118
1173,140.056022409
1174,917.905623788
1175,202.542555484
1176,551.605257488
1177,950.226244344
1178,1682.82697694
1179,2102.99504417
1180,282.266752855
1181,467.571644042
1182,49.5582848524
1183,683.042447748
1184,254.255548373
1185,53.8677009265
1186,538.677009265
1187,741.219564749
1188,230.553759966
1189,430.941607412
1190,443.869855635
1191,433.096315449
1193,581.771170006
1194,693.815987934
1195,599.008834303
1196,614.091790562
1197,4.30941607412
1199,103.425985779
1200,560.224089636
1201,249.946132299
1202,448.179271709
1203,566.688213747
1204,1113.98405516
1205,1172.16117216
1206,577.461753932
1207,502.046972635
1208,374.919198449
1209,256.41025641
1210,1027.79573368
1211,831.717302306
1212,280.112044818
1213,73.2600732601
1214,81.8789054083
1215,377.073906486
1216,232.708468003
1217,1010.55806938
1218,471.881060116
1219,530.058177117
1221,305.968541263
1222,450.333979746
1223,135.746606335
1224,713.208360267
1225,133.591898298
1226,327.515621633
1227,1312.21719457
1229,997.629821159
1230,1180.78000431
1231,329.67032967
1235,53.8677009265
1236,245.636716225
1238,232.708468003
1239,131.437190261
1240,383.538030597
1241,689.50657186
1242,917.905623788
1243,293.04029304
1245,43.0941607412
1246,4014.22107304
1247,234.86317604
1249,135.746606335
1250,96.9618616677
1252,288.730876966
1253,28.0112044818
1254,290.885585003
1255,56.0224089636
1257,88.3430295195
1258,3561.73238526
1259,224.089635854
1260,1098.9010989
1261,1014.86748546
1262,1962.93902176
1263,2492.99719888
1265,980.392156863
1266,321.051497522
1267,105.580693816
1269,36.63003663
1272,277.957336781
1273,4.30941607412
1275,148.674854557
1276,575.307045895
1277,196.078431373
1278,142.210730446
1279,644.257703081
1280,616.246498599
1281,43.0941607412
1282,15.0829562594
1283,2255.9793148
1284,157.293686705
1285,262.874380521
1286,614.091790562
1287,898.513251454
1288,1260.50420168
1289,243.482008188
1290,385.692738634
1291,435.251023486
1292,799.39668175
1293,478.345184228
1294,32.3206205559
1295,514.975220858
1296,586.080586081
1297,402.93040293
1298,232.708468003
1299,79.7241973713
1302,243.482008188
1303,407.239819005
1304,196.078431373
1305,77.5694893342
1306,86.1883214824
1307,191.769015298
1308,1760.39646628
1309,112.044817927
1310,43.0941607412
1311,2844.21460892
1312,221.934927817
1313,228.399051928
1315,265.029088559
1316,754.147812971
1317,277.957336781
1318,58.1771170006
1319,81.8789054083
1320,293.04029304
1321,84.0336134454
1322,2368.02413273
1323,81.8789054083
1324,747.68368886
1325,318.896789485
1326,288.730876966
1327,655.031243267
1328,56.0224089636
1329,331.825037707
1330,73.2600732601
1331,221.934927817
1332,506.356388709
1333,170.221934928
1334,157.293686705
1335,958.845076492
1336,1180.78000431
1337,1437.19026072
1338,820.94376212
1339,831.717302306
1340,1064.42577031
1341,213.316095669
1342,40.9394527042
1343,471.881060116
1344,2911.01055807
1345,56.0224089636
1346,573.152337858
1347,702.434820082
1348,1738.84938591
1349,21.5470803706
1350,103.425985779
1351,237.017884077
1353,698.125404008
1354,12.9282482224
1355,25.8564964447
1356,161.60310278
1359,118.508942038
1362,176.686059039
1363,47.4035768153
1364,34.475328593
1365,92.6524455936
1366,84.0336134454
1367,346.907993967
1368,290.885585003
1369,1618.18573583
1370,1407.0243482
1371,64.6412411118
1372,88.3430295195
1374,51.7129928895
1375,196.078431373
1376,66.7959491489
1378,53.8677009265
1379,743.374272786
1380,734.755440638
1381,312.432665374
1382,86.1883214824
2001,217.625511743
2002,288.730876966
2003,40.9394527042
2004,249.946132299
2005,1025.64102564
2007,172.376642965
